title,lat,lon,photo_filename
Anica Kuk,44.296347,15.469162,anica_kuk.jpg
Bridalveil Falls East,37.718528,-119.669997,bridalveil_falls_east.jpg
Epinephrine,36.035255,-115.468103,epinephrine.jpg
Hvar,43.149175,16.884212,hvar.jpg
Liming 1,27.028503,99.676338,liming-1.jpg
Newhalem,48.678422,-121.243422,newhalem.jpg
Oz,37.864610,-119.422150,oz.jpg
Prusik Peak,47.487205,-120.784692,prusik_peak.jpg
Psychotropic Flautist,34.916497,-111.872262,psychotropic_flautist.jpg
Rockfellow,31.926880,-109.978675,rockfellow.jpg
Rubio Y Azul,-49.288925,-73.081367,rubio-y-azul.jpg
Totem Proto,33.275883,-111.029411,totem_proto.jpg
Vilanova De Meia,42.021720,1.029880,vilanova_de_meià.jpg
Washington Pass,48.512742,-120.658638,washington_pass.jpg
Alta,40.560275,-111.645522,alta.jpg
Angle Wings,36.571730,-118.584490,angle_wings.jpg
Asahidake,43.663600,142.854100,asahidake.jpg
Astro Gil,36.918800,-118.781000,astro_gil.jpg
Battle Of The Bulge,38.038370,-109.549170,battle_of_the_bulge.jpg
Big Time,36.607563,-118.698075,big_time.jpg
Bubbs Creek,36.771430,-118.472847,bubbs_creek.jpg
Calaveras Dome,38.488828,-120.227075,calaveras_dome.jpg
Castle Rock Spire,36.508725,-118.718528,castle_rock_spire.jpg
Castleton,38.651000,-109.367800,castleton.jpg
City Of Rocks,42.067692,-113.705033,city_of_rocks.jpg
Cloud Tower,36.112100,-115.489770,cloud_tower.jpg
Cochamo,-41.436400,-72.108200,cochamo.jpg
Cochamo 2,-41.436400,-72.108200,cochamo_2.jpg
Cochise,31.851745,-110.004769,cochise.jpg
Colchuck,47.495422,-120.835480,colchuck.jpg
Crimp On Crimp,34.903670,-111.758070,crimp_on_crimp.jpg
Devils Tower,44.590480,-104.715070,devils_tower.jpg
Dominican Republic,18.735700,-70.162700,dominican_republic.jpg
East Arete Summit,36.555810,-118.594020,east_arete_summit.jpg
El Cap Spire,36.468770,-121.195220,el_cap_spire.jpg
El Cumbre,-41.448880,-72.119190,el_cumbre.jpg
El Monstruo,-41.448880,-72.119190,el_monstruo.jpg
Elephants Perch,44.069245,-114.973428,elephants_perch.jpg
Fay Buttress,34.917600,-111.872995,fay_buttress.jpg
Fay Canyon,34.908463,-111.760192,fay_canyon.jpg
Fitz,-49.280138,-72.985655,fitz.jpg
Fitz Roy,-49.280138,-72.985655,fitz_roy.jpg
Frey,-41.150000,-71.816700,frey.jpg
Golden Gate,37.815063,-122.479203,golden_gate.jpg
Gram Traverse,37.864610,-119.422150,gram_traverse.jpg
Half Dome,33.999750,-117.427990,half_dome.jpg
Hamilton Bivy,36.554117,-118.589522,hamilton_bivy.jpg
Hamilton Dome,36.555810,-118.594020,hamilton_dome.jpg
Harding Slot,37.747780,-119.559000,harding_slot.jpg
Hetch Hetchy,37.963387,-119.754212,hetch_hetchy.jpg
Indian Creek,38.025740,-109.539870,indian_creek.jpg
Jaded Lady,42.858600,-109.303383,jaded_lady.jpg
Jordan,30.328500,35.444400,jordan.jpg
Jordania,30.328500,35.444400,jordania.jpg
Karate Crack,44.366500,-121.145640,karate_crack.jpg
Kiroro,43.040836,141.012147,kiroro.jpg
Kiroro Bc,43.035058,141.020155,kiroro_bc.jpg
Krabi,8.003560,98.840410,krabi.jpg
Layaway Plan,38.036790,-109.577400,layaway_plan.jpg
Liberty Bell,48.517238,-120.655555,liberty_bell.jpg
Liming,27.025980,99.683920,liming.jpg
Mighty Mouse,50.392075,-122.585420,mighty_mouse.jpg
Mount Hooker,42.858833,-109.303213,mount_hooker.jpg
