Date,Route,Rating,Notes,Pitches,URL,Lat and long
2026-12-31,Blood Brother,5.10c,,5,https://www.mountainproject.com/route/110048844/blood-brother,"31.93969, -109.99315"
2026-12-30,Old School Executioner,5.12c,,1,https://www.mountainproject.com/route/107105683/old-school-executioner,"31.92201, -110.00142"
2026-12-30,Stiletto,5.11b,,1,https://www.mountainproject.com/route/107063456/stiletto,"31.92201, -110.00142"
2026-12-30,Tombstone Crack,5.10+ PG13,,1,https://www.mountainproject.com/route/106597054/tombstone-crack,"31.92201, -110.00142"
2026-12-29,The Inevitable Awaits You,5.11a,,3,https://www.mountainproject.com/route/106561688/the-inevitable-awaits-you,"31.87115, -109.99528"
2026-12-28,Mad Cow Disease,5.11,no cams/nuts used,6,https://www.mountainproject.com/route/106688286/mad-cow-disease,"31.87031, -109.99388"
2026-01-02,Clumsy,5.12a,,2,https://www.mountainproject.com/route/105900137/clumsy,"34.66851, -116.98054"
2026-01-02,My Bloody Valentine,5.10a,,1,https://www.mountainproject.com/route/110089922/my-bloody-valentine,"34.67094, -116.98414"
2026-01-02,Tear in My Heart,5.11b/c,,1,https://www.mountainproject.com/route/125585135/tear-in-my-heart,"34.67094, -116.98414"
2026-01-02,Snow White,5.10d,,1,https://www.mountainproject.com/route/105926327/snow-white,"34.67068, -116.98328"
2026-01-02,White Out,5.10b,,1,https://www.mountainproject.com/route/105923015/white-out,"34.67068, -116.98328"
2025-12-30,Get The Flock Out Of Here,5.10+,"No 3, 4, nuts or anything smaller than black totem used.  Can protect traverse with a 2.  Excellent line.",5,https://www.mountainproject.com/route/106151707/get-the-flock-out-of-here,"31.87031, -109.99388"
2025-12-26,Underwhere,5.12c,,2,https://www.mountainproject.com/route/109590958/underwhere,"31.69154, -110.42929"
2025-12-26,Log Jammin',5.12b,,2,https://www.mountainproject.com/route/118836349/log-jammin,"31.69154, -110.42929"
2025-12-26,Snare the Spare,5.11+,,1,https://www.mountainproject.com/route/116575678/snare-the-spare,"31.69154, -110.42929"
2025-12-26,"Always Welcome, Never Invited",5.10a,,1,https://www.mountainproject.com/route/116109794/always-welcome-never-invited,"31.69161, -110.42865"
2025-12-26,You're Welcome,5.8,,1,https://www.mountainproject.com/route/118350608/youre-welcome,"31.69161, -110.42865"
2025-12-25,Veganator,5.12a,,2,https://www.mountainproject.com/route/105802889/veganator,"31.79395, -110.39916"
2025-12-25,A Climb Called Quest,5.12a,,1,https://www.mountainproject.com/route/113367130/a-climb-called-quest,"31.79395, -110.39916"
2025-12-25,Unicorn Infestation,5.10d,,2,https://www.mountainproject.com/route/113368773/unicorn-infestation,"31.79395, -110.39916"
2025-12-23,Crimp on Crimp Crime,5.11,"p1 grey tcu - 1, #10 stopper
p2 2x purple totem
p3 blue totem 
p5 .3 or .4

best route in sedona ",5,https://www.mountainproject.com/route/114030324/crimp-on-crimp-crime,"34.90367, -111.75807"
2025-12-22,Psychotropic Flautist,5.12-,,5,https://www.mountainproject.com/route/116199430/psychotropic-flautist,"34.91652, -111.87264"
2025-12-21,Lord Humongous,5.11,,1,https://www.mountainproject.com/route/105849210/lord-humongous,"34.93186, -111.73298"
