Date,Route,Rating,Notes,URL,Pitches,Location,Lat and long
2018-11-20,Gates of Delirium,5.12-,"had the prevailing antibodies to withstand the p3&8 OW, yet too sodomized by the sun to finish. P1 5.10c1 on TR.",https://www.mountainproject.com/route/108448694/gates-of-delirium,10,California > Yosemite National Park > Yosemite Valley > Valley North Side > A. Ribbon Falls Area > 5. Ribbon Falls Amphitheater,"37.7263, -119.64273"
2018-12-27,Wangerbanger,5.11c,"3, 2, 1, 1, .75, .5, .4, 1.  Windy, high gravity day.  Grabbing that left horizontal was hard.  ",https://www.mountainproject.com/route/105722356/wangerbanger,1,California > Joshua Tree National Park > Central Joshua Tree > Echo Rock Area > Rusty Wall,"34.01977, -116.17144"
2019-04-06,Air Bare,5.10c,Not Air bare but nearby,https://www.mountainproject.com/route/115330209/air-bare,1,California > Yosemite National Park > Yosemite Valley > Valley South Side > H. Illilouette Canyon,"37.71815, -119.55817"
2019-04-19,"Monday Morning Slab, Harry Daley Route",5.8,I can believe I yelled “watch me” on a 5.8,https://www.mountainproject.com/route/105939242/monday-morning-slab-harry-daley-route,2,California > Yosemite National Park > Yosemite Valley > Valley South Side > I. Glacier Point Apron > 5. Monday Morning Slab,"37.73295, -119.56601"
2019-04-27,East Buttress,5.10c A0,Missed a rap anchor trying to impress J,https://www.mountainproject.com/route/105915125/east-buttress,11,California > Yosemite National Park > Yosemite Valley > Valley South Side > P. Cathedral Area > 6. Middle Cathedral Rock,"37.7165, -119.6363"
2019-04-28,Commissioner Buttress,5.9+,Better than navigating crowds on the nutcracker,https://www.mountainproject.com/route/107065849/commissioner-buttress,5,California > Yosemite National Park > Yosemite Valley > Valley North Side > C. El Cap Picnic Area (Eagle Creek) > 5. Manure Pile Buttress (aka Ranger Rock),"37.73059, -119.619"
2019-05-11,Pelican Arete,5.10a V1-,J forgot his shoes and harness.  Sent in approach shoes.  Terrible German beer.  ,https://www.mountainproject.com/route/105735149/pelican-arete,1,California > San Francisco Bay Area > Wine Country/Northeast Bay > Sonoma Coast State Park > Goat Rock > Sunset Boulders > Ram Rock,"38.42937, -123.11571"
2019-05-11,Cosmic Wall,5.6 R,PlanB. Found a guide book in a pack. Bushwhacking.  Beefiest three point anchor.  ,https://www.mountainproject.com/route/105735809/cosmic-wall,6,California > Northeast California > Castle Crags > The Ogre aka Mt. Hubris,"41.17689, -122.33692"
2019-05-12,Sunset Face Left,5.9 V0 R,,https://www.mountainproject.com/route/105735176/sunset-face-left,1,California > San Francisco Bay Area > Wine Country/Northeast Bay > Sonoma Coast State Park > Goat Rock > Sunset Boulders > Ram Rock,"38.42937, -123.11571"
2019-05-12,Killer Crack,5.11a/b V2- R,,https://www.mountainproject.com/route/105735986/killer-crack,1,California > San Francisco Bay Area > Wine Country/Northeast Bay > Sonoma Coast State Park > Goat Rock > Sunset Boulders > Ram Rock,"38.42937, -123.11571"
2019-05-12,The Dike Route (aka East Face),5.10d,"330pm start as the route goes in the shade, summited by sunset. Approached from near Indian springs between the mansion and the dome. Runout but sweet climb.",https://www.mountainproject.com/route/105736315/the-dike-route-aka-east-face,8,California > Northeast California > Castle Crags > Castle Dome,"41.17479, -122.32717"
2019-05-22,Divine Comedy,5.10a,J with a sit start,https://www.mountainproject.com/route/109868733/divine-comedy,1,Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > Dante's Wall,"36.14497, -115.42471"
2019-05-22,The Right Road Lost,5.10a,,https://www.mountainproject.com/route/109868754/the-right-road-lost,1,Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > Dante's Wall,"36.14497, -115.42471"
2019-05-22,Virgil and Beatrice,5.9,,https://www.mountainproject.com/route/109868751/virgil-and-beatrice,1,Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > Dante's Wall,"36.14497, -115.42471"
2019-05-22,Inferno,5.12a,,https://www.mountainproject.com/route/109868711/inferno,1,Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > Dante's Wall,"36.14497, -115.42471"
2019-05-23,Scorpions,5.11a,,https://www.mountainproject.com/route/105949670/scorpions,1,Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Sunny and Steep,"36.16986, -115.42321"
2019-05-23,Turtle Wax,5.11b,Birthday bolt challenge,https://www.mountainproject.com/route/105949674/turtle-wax,1,Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Sunny and Steep,"36.16986, -115.42321"
2019-05-23,Sport Chimney,5.8,Chimneys don’t get enough star love,https://www.mountainproject.com/route/106516267/sport-chimney,1,Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Sunny and Steep,"36.16986, -115.42321"
2019-05-23,Working for Peanuts,5.9+,“Too hard. Lower me.”  “WHAT?”,https://www.mountainproject.com/route/106601293/working-for-peanuts,1,Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Sunny and Steep,"36.16986, -115.42321"
2019-05-23,Mr Choad's Wild Ride,5.11b,Birthday bolt challenge,https://www.mountainproject.com/route/106375205/mr-choads-wild-ride,1,Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Sunny and Steep,"36.16986, -115.42321"
2019-05-24,Cloud Tower,5.12a,Linked with CC; proud OS,https://www.mountainproject.com/route/105732386/cloud-tower,6,Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Cloud Tower,"36.11237, -115.48908"
2019-05-25,Frogland,5.8,Simuled until the hard watch me 5.6 finish.  ,https://www.mountainproject.com/route/105732398/frogland,6,Nevada > Southern Nevada > Red Rocks > (16) Black Velvet Canyon > Whiskey Peak > North Face,"36.03509, -115.46345"
2019-05-25,Ixtlan,5.11c,,https://www.mountainproject.com/route/105826195/ixtlan,2,Nevada > Southern Nevada > Red Rocks > (16) Black Velvet Canyon > Whiskey Peak > North Face,"36.03509, -115.46345"
2019-06-08,Scarface (Free),5.12,"Went up the wrong P1. Fell on both 12s.  
1045 start 845 summit.  Car 130. John carried everything. Single #2/3/4 adequate. 3-4 .3/.4/.5. No micro offsets.  Yellow/red DMM offset. No purple c3. Thoughtfully bolted.",https://www.mountainproject.com/route/108410471/scarface-free,12,California > Yosemite National Park > Yosemite Valley > Valley South Side > F. Liberty Cap,"37.7275, -119.53364"
2019-06-09,Loggerhead Ledge Route,5.7,“Is this legal?” Ha,https://www.mountainproject.com/route/106612628/loggerhead-ledge-route,3,California > Yosemite National Park > Yosemite Valley > Valley North Side > C. El Cap Picnic Area (Eagle Creek) > 2. Loggerhead Buttress,"37.72965, -119.62316"
2019-06-22,Beggar's Buttress,5.11c,"almost lost my shoe; J lunged.  GLOW WORM!

For the love for God, the only beta that's important: bring your shoes for the descent. Great route, but underestimated the endless SW pilgrimage off of Lower Cathedral.  SHOES. ",https://www.mountainproject.com/route/106487486/beggars-buttress,9,California > Yosemite National Park > Yosemite Valley > Valley South Side > P. Cathedral Area > 7. Lower Cathedral Area > Mecca,"37.71932, -119.64339"
2019-06-23,Northeast Buttress,5.9+ PG13,Lost my shoes. 330pm start 830 summit.  John finds shoe.  One headlamp; descent botched.,https://www.mountainproject.com/route/105862896/northeast-buttress,11,California > Yosemite National Park > Yosemite Valley > Valley South Side > P. Cathedral Area > 5. Higher Cathedral Rock,"37.71439, -119.63469"
2019-06-29,Chouinard-Herbert,5.11c,OS of the Cuban Flakes.  Ran down the descent in perfect timing.  3 friends on 3 routes that day.  ,https://www.mountainproject.com/route/106233765/chouinard-herbert,15,California > Yosemite National Park > Yosemite Valley > Valley South Side > M. Sentinel Rock,"37.72958, -119.59381"
2019-07-04,Krymptonite,5.11b,,https://www.mountainproject.com/route/113588281/krymptonite,5,California > Sequoia & Kings Canyon NP > Panther Peak,"37.72835, -119.62042"
2019-07-05,"Rack 'em up, Reid",5.10a,Great OW finish ,https://www.mountainproject.com/route/113992846/rack-em-up-reid,5,California > Sequoia & Kings Canyon NP > Panther Peak,"37.72835, -119.62042"
2019-07-05,Usually Its Sunny,5.10c,Linked it with the chimney route on Lower.  Took forever in the chimney. Had to hand off leads.,https://www.mountainproject.com/route/109037437/usually-its-sunny,5,California > Sequoia & Kings Canyon NP > Tokopah Valley > Santa Cruz Dome,"36.62543, -118.70302"
2019-07-05,The Boardwalk Chimney,5.8,Ate lunch at the start of the climb and didn&#39;t know it.,https://www.mountainproject.com/route/109058617/the-boardwalk-chimney,3,California > Sequoia & Kings Canyon NP > Tokopah Valley > Lower Tokopah Dome,"36.62316, -118.6992"
2019-07-09,Nowhere To Run,5.11a,"Pulled two boulders onto my legs.  Hurt so bad.  Still finished like a champ.  Mistletoe encounter. doubles to 2, single 3, 4, 6.  Would dump the 6 and bring an extra .75. ",https://www.mountainproject.com/route/108552396/nowhere-to-run,6,California > Sequoia & Kings Canyon NP > Kings Canyon > North Mountain,"36.80494, -118.6312"
2019-07-09,Tokopah Reality,5.11-,Tried to lead feet first.  Ha.  Most fun chicken head climbing ever.,https://www.mountainproject.com/route/109058210/tokopah-reality,5,California > Sequoia & Kings Canyon NP > Tokopah Valley > Lower Tokopah Dome,"36.62316, -118.6992"
2019-07-11,Papa Bear,5.11b,,https://www.mountainproject.com/route/106495420/papa-bear,1,California > Lake Tahoe > I-80 Corridor > Donner Summit > Goldilocks Wall,"39.31662, -120.32456"
2019-07-11,Goldilocks,5.11a,,https://www.mountainproject.com/route/105898554/goldilocks,1,California > Lake Tahoe > I-80 Corridor > Donner Summit > Goldilocks Wall,"39.31662, -120.32456"
2019-07-12,Corner On Gold,5.10c,,https://www.mountainproject.com/route/105736378/corner-on-gold,1,California > Lake Tahoe > I-80 Corridor > Donner Summit > Grouse Slab > Southwest Face,"39.32231, -120.31924"
2019-07-12,Half Hit,5.9+,With M1 and J.  Not a good way to introduce trad climbing to Elaine,https://www.mountainproject.com/route/105736375/half-hit,1,California > Lake Tahoe > I-80 Corridor > Donner Summit > Grouse Slab > Southwest Face,"39.32231, -120.31924"
2019-07-12,Free And Easy,5.6,So hot.  We should have just swam until an evening sesh at snowshed.,https://www.mountainproject.com/route/106506980/free-and-easy,1,California > Lake Tahoe > I-80 Corridor > Donner Summit > North Star Wall,"39.32293, -120.32203"
2019-07-12,Megalomania,5.12a,,https://www.mountainproject.com/route/113765859/megalomania,1,California > Lake Tahoe > I-80 Corridor > Donner Summit > South Star Wall,"39.32202, -120.32274"
2019-07-12,Mama Bear,5.11-,With John and Skyler’s flying blue totem ,https://www.mountainproject.com/route/106236171/mama-bear,1,California > Lake Tahoe > I-80 Corridor > Donner Summit > Goldilocks Wall,"39.31662, -120.32456"
2019-07-18,Bossy Pants,5.10b/c,,https://www.mountainproject.com/route/112167839/bossy-pants,1,California > Lake Tahoe > I-80 Corridor > Bowman/Emeralds > Bowman Valley > Boy Scout Wall,"39.44587, -120.65838"
2019-07-18,Sentient Turnip,5.12a,accidentally told J it was a 10c,https://www.mountainproject.com/route/110303332/sentient-turnip,1,California > Lake Tahoe > I-80 Corridor > Bowman/Emeralds > Bowman Valley > Boy Scout Wall,"39.44587, -120.65838"
2019-07-19,Angels and Demons,5.12a,,https://www.mountainproject.com/route/108129715/angels-and-demons,1,California > Lake Tahoe > I-80 Corridor > Bowman/Emeralds > Bowman Valley > Larry Land,"39.4443, -120.6542"
2019-07-19,Hot Rod,5.11b,,https://www.mountainproject.com/route/108005280/hot-rod,1,California > Lake Tahoe > I-80 Corridor > Bowman/Emeralds > Bowman Valley > Larry Land,"39.4443, -120.6542"
2019-07-19,Altered Carbon,5.12c/d,,https://www.mountainproject.com/route/112066371/altered-carbon,1,California > Lake Tahoe > I-80 Corridor > Bowman/Emeralds > Bowman Valley > B - Word,"39.44527, -120.66024"
2019-07-19,Handbook Of The Recently Deceased,5.12c,,https://www.mountainproject.com/route/112066256/handbook-of-the-recently-deceased,1,California > Lake Tahoe > I-80 Corridor > Bowman/Emeralds > Bowman Valley > B - Word,"39.44527, -120.66024"
2019-07-19,"We've Come For Your Daughter, CHUCK",5.12a,,https://www.mountainproject.com/route/112066317/weve-come-for-your-daughter-chuck,1,California > Lake Tahoe > I-80 Corridor > Bowman/Emeralds > Bowman Valley > B - Word,"39.44527, -120.66024"
2019-07-19,Juno Your Case Worker,5.11d,,https://www.mountainproject.com/route/112066282/juno-your-case-worker,1,California > Lake Tahoe > I-80 Corridor > Bowman/Emeralds > Bowman Valley > B - Word,"39.44527, -120.66024"
2019-07-19,"""The"" WARM-UP!",5.11c/d,,https://www.mountainproject.com/route/112066341/the-warm-up,1,California > Lake Tahoe > I-80 Corridor > Bowman/Emeralds > Bowman Valley > B - Word,"39.44527, -120.66024"
2019-07-20,Larry Land,5.11c,,https://www.mountainproject.com/route/108005227/larry-land,1,California > Lake Tahoe > I-80 Corridor > Bowman/Emeralds > Bowman Valley > Larry Land,"39.4443, -120.6542"
2019-07-20,Peter Principle,5.11a,,https://www.mountainproject.com/route/105735527/peter-principle,1,California > Lake Tahoe > I-80 Corridor > Donner Summit > Snowshed Wall > North Face > 1. North Face Main,"39.31642, -120.31884"
2019-07-20,The Thing,5.11a,,https://www.mountainproject.com/route/106213134/the-thing,1,California > Lake Tahoe > I-80 Corridor > Donner Summit > Snowshed Wall > North Face > 1. North Face Main,"39.31642, -120.31884"
